name,condition
data\Three Classes\Reject\reject (1).jpg,bad
data\Three Classes\Reject\reject (10).jpg,bad
data\Three Classes\Reject\reject (100).jpg,bad
data\Three Classes\Reject\reject (101).jpg,bad
data\Three Classes\Reject\reject (102).jpg,bad
data\Three Classes\Reject\reject (103).jpg,bad
data\Three Classes\Reject\reject (104).jpg,bad
data\Three Classes\Reject\reject (105).jpg,bad
data\Three Classes\Reject\reject (106).jpg,bad
data\Three Classes\Reject\reject (107).jpg,bad
data\Three Classes\Reject\reject (108).jpg,bad
data\Three Classes\Reject\reject (109).jpg,bad
data\Three Classes\Reject\reject (11).jpg,bad
data\Three Classes\Reject\reject (110).jpg,bad
data\Three Classes\Reject\reject (111).jpg,bad
data\Three Classes\Reject\reject (112).jpg,bad
data\Three Classes\Reject\reject (113).jpg,bad
data\Three Classes\Reject\reject (114).jpg,bad
data\Three Classes\Reject\reject (115).jpg,bad
data\Three Classes\Reject\reject (116).jpg,bad
data\Three Classes\Reject\reject (117).jpg,bad
data\Three Classes\Reject\reject (118).jpg,bad
data\Three Classes\Reject\reject (119).jpg,bad
data\Three Classes\Reject\reject (12).jpg,bad
data\Three Classes\Reject\reject (120).jpg,bad
data\Three Classes\Reject\reject (121).jpg,bad
data\Three Classes\Reject\reject (122).jpg,bad
data\Three Classes\Reject\reject (123).jpg,bad
data\Three Classes\Reject\reject (124).jpg,bad
data\Three Classes\Reject\reject (125).jpg,bad
data\Three Classes\Reject\reject (126).jpg,bad
data\Three Classes\Reject\reject (127).jpg,bad
data\Three Classes\Reject\reject (128).jpg,bad
data\Three Classes\Reject\reject (129).jpg,bad
data\Three Classes\Reject\reject (13).jpg,bad
data\Three Classes\Reject\reject (130).jpg,bad
data\Three Classes\Reject\reject (131).jpg,bad
data\Three Classes\Reject\reject (132).jpg,bad
data\Three Classes\Reject\reject (133).jpg,bad
data\Three Classes\Reject\reject (134).jpg,bad
data\Three Classes\Reject\reject (135).jpg,bad
data\Three Classes\Reject\reject (136).jpg,bad
data\Three Classes\Reject\reject (137).jpg,bad
data\Three Classes\Reject\reject (138).jpg,bad
data\Three Classes\Reject\reject (139).jpg,bad
data\Three Classes\Reject\reject (14).jpg,bad
data\Three Classes\Reject\reject (140).jpg,bad
data\Three Classes\Reject\reject (141).jpg,bad
data\Three Classes\Reject\reject (142).jpg,bad
data\Three Classes\Reject\reject (143).jpg,bad
data\Three Classes\Reject\reject (144).jpg,bad
data\Three Classes\Reject\reject (145).jpg,bad
data\Three Classes\Reject\reject (146).jpg,bad
data\Three Classes\Reject\reject (147).jpg,bad
data\Three Classes\Reject\reject (148).jpg,bad
data\Three Classes\Reject\reject (149).jpg,bad
data\Three Classes\Reject\reject (15).jpg,bad
data\Three Classes\Reject\reject (150).jpg,bad
data\Three Classes\Reject\reject (151).jpg,bad
data\Three Classes\Reject\reject (152).jpg,bad
data\Three Classes\Reject\reject (153).jpg,bad
data\Three Classes\Reject\reject (154).jpg,bad
data\Three Classes\Reject\reject (155).jpg,bad
data\Three Classes\Reject\reject (156).jpg,bad
data\Three Classes\Reject\reject (157).jpg,bad
data\Three Classes\Reject\reject (158).jpg,bad
data\Three Classes\Reject\reject (159).jpg,bad
data\Three Classes\Reject\reject (16).jpg,bad
data\Three Classes\Reject\reject (160).jpg,bad
data\Three Classes\Reject\reject (161).jpg,bad
data\Three Classes\Reject\reject (162).jpg,bad
data\Three Classes\Reject\reject (163).jpg,bad
data\Three Classes\Reject\reject (164).jpg,bad
data\Three Classes\Reject\reject (165).jpg,bad
data\Three Classes\Reject\reject (166).jpg,bad
data\Three Classes\Reject\reject (167).jpg,bad
data\Three Classes\Reject\reject (168).jpg,bad
data\Three Classes\Reject\reject (169).jpg,bad
data\Three Classes\Reject\reject (17).jpg,bad
data\Three Classes\Reject\reject (170).jpg,bad
data\Three Classes\Reject\reject (171).jpg,bad
data\Three Classes\Reject\reject (172).jpg,bad
data\Three Classes\Reject\reject (173).jpg,bad
data\Three Classes\Reject\reject (174).jpg,bad
data\Three Classes\Reject\reject (175).jpg,bad
data\Three Classes\Reject\reject (176).jpg,bad
data\Three Classes\Reject\reject (177).jpg,bad
data\Three Classes\Reject\reject (178).jpg,bad
data\Three Classes\Reject\reject (179).jpg,bad
data\Three Classes\Reject\reject (18).jpg,bad
data\Three Classes\Reject\reject (180).jpg,bad
data\Three Classes\Reject\reject (181).jpg,bad
data\Three Classes\Reject\reject (182).jpg,bad
data\Three Classes\Reject\reject (183).jpg,bad
data\Three Classes\Reject\reject (184).jpg,bad
data\Three Classes\Reject\reject (185).jpg,bad
data\Three Classes\Reject\reject (186).jpg,bad
data\Three Classes\Reject\reject (187).jpg,bad
data\Three Classes\Reject\reject (188).jpg,bad
data\Three Classes\Reject\reject (189).jpg,bad
data\Three Classes\Reject\reject (19).jpg,bad
data\Three Classes\Reject\reject (190).jpg,bad
data\Three Classes\Reject\reject (191).jpg,bad
data\Three Classes\Reject\reject (192).jpg,bad
data\Three Classes\Reject\reject (193).jpg,bad
data\Three Classes\Reject\reject (194).jpg,bad
data\Three Classes\Reject\reject (195).jpg,bad
data\Three Classes\Reject\reject (196).jpg,bad
data\Three Classes\Reject\reject (197).jpg,bad
data\Three Classes\Reject\reject (198).jpg,bad
data\Three Classes\Reject\reject (199).jpg,bad
data\Three Classes\Reject\reject (2).jpg,bad
data\Three Classes\Reject\reject (20).jpg,bad
data\Three Classes\Reject\reject (200).jpg,bad
data\Three Classes\Reject\reject (201).jpg,bad
data\Three Classes\Reject\reject (202).jpg,bad
data\Three Classes\Reject\reject (203).jpg,bad
data\Three Classes\Reject\reject (204).jpg,bad
data\Three Classes\Reject\reject (205).jpg,bad
data\Three Classes\Reject\reject (206).jpg,bad
data\Three Classes\Reject\reject (207).jpg,bad
data\Three Classes\Reject\reject (208).jpg,bad
data\Three Classes\Reject\reject (209).jpg,bad
data\Three Classes\Reject\reject (21).jpg,bad
data\Three Classes\Reject\reject (210).jpg,bad
data\Three Classes\Reject\reject (211).jpg,bad
data\Three Classes\Reject\reject (212).jpg,bad
data\Three Classes\Reject\reject (213).jpg,bad
data\Three Classes\Reject\reject (214).jpg,bad
data\Three Classes\Reject\reject (215).jpg,bad
data\Three Classes\Reject\reject (216).jpg,bad
data\Three Classes\Reject\reject (217).jpg,bad
data\Three Classes\Reject\reject (218).jpg,bad
data\Three Classes\Reject\reject (219).jpg,bad
data\Three Classes\Reject\reject (22).jpg,bad
data\Three Classes\Reject\reject (220).jpg,bad
data\Three Classes\Reject\reject (221).jpg,bad
data\Three Classes\Reject\reject (222).jpg,bad
data\Three Classes\Reject\reject (223).jpg,bad
data\Three Classes\Reject\reject (224).jpg,bad
data\Three Classes\Reject\reject (225).jpg,bad
data\Three Classes\Reject\reject (226).jpg,bad
data\Three Classes\Reject\reject (227).jpg,bad
data\Three Classes\Reject\reject (228).jpg,bad
data\Three Classes\Reject\reject (229).jpg,bad
data\Three Classes\Reject\reject (23).jpg,bad
data\Three Classes\Reject\reject (230).jpg,bad
data\Three Classes\Reject\reject (231).jpg,bad
data\Three Classes\Reject\reject (232).jpg,bad
data\Three Classes\Reject\reject (233).jpg,bad
data\Three Classes\Reject\reject (234).jpg,bad
data\Three Classes\Reject\reject (235).jpg,bad
data\Three Classes\Reject\reject (236).jpg,bad
data\Three Classes\Reject\reject (237).jpg,bad
data\Three Classes\Reject\reject (238).jpg,bad
data\Three Classes\Reject\reject (239).jpg,bad
data\Three Classes\Reject\reject (24).jpg,bad
data\Three Classes\Reject\reject (240).jpg,bad
data\Three Classes\Reject\reject (241).jpg,bad
data\Three Classes\Reject\reject (242).jpg,bad
data\Three Classes\Reject\reject (243).jpg,bad
data\Three Classes\Reject\reject (244).jpg,bad
data\Three Classes\Reject\reject (245).jpg,bad
data\Three Classes\Reject\reject (246).jpg,bad
data\Three Classes\Reject\reject (247).jpg,bad
data\Three Classes\Reject\reject (248).jpg,bad
data\Three Classes\Reject\reject (249).jpg,bad
data\Three Classes\Reject\reject (25).jpg,bad
data\Three Classes\Reject\reject (250).jpg,bad
data\Three Classes\Reject\reject (251).jpg,bad
data\Three Classes\Reject\reject (252).jpg,bad
data\Three Classes\Reject\reject (253).jpg,bad
data\Three Classes\Reject\reject (254).jpg,bad
data\Three Classes\Reject\reject (255).jpg,bad
data\Three Classes\Reject\reject (256).jpg,bad
data\Three Classes\Reject\reject (257).jpg,bad
data\Three Classes\Reject\reject (258).jpg,bad
data\Three Classes\Reject\reject (259).jpg,bad
data\Three Classes\Reject\reject (26).jpg,bad
data\Three Classes\Reject\reject (260).jpg,bad
data\Three Classes\Reject\reject (261).jpg,bad
data\Three Classes\Reject\reject (262).jpg,bad
data\Three Classes\Reject\reject (263).jpg,bad
data\Three Classes\Reject\reject (264).jpg,bad
data\Three Classes\Reject\reject (265).jpg,bad
data\Three Classes\Reject\reject (266).jpg,bad
data\Three Classes\Reject\reject (267).jpg,bad
data\Three Classes\Reject\reject (268).jpg,bad
data\Three Classes\Reject\reject (269).jpg,bad
data\Three Classes\Reject\reject (27).jpg,bad
data\Three Classes\Reject\reject (270).jpg,bad
data\Three Classes\Reject\reject (271).jpg,bad
data\Three Classes\Reject\reject (272).jpg,bad
data\Three Classes\Reject\reject (273).jpg,bad
data\Three Classes\Reject\reject (274).jpg,bad
data\Three Classes\Reject\reject (275).jpg,bad
data\Three Classes\Reject\reject (276).jpg,bad
data\Three Classes\Reject\reject (277).jpg,bad
data\Three Classes\Reject\reject (278).jpg,bad
data\Three Classes\Reject\reject (279).jpg,bad
data\Three Classes\Reject\reject (28).jpg,bad
data\Three Classes\Reject\reject (280).jpg,bad
